index,name,latitude,longitude,牛排,日式料理,義式料理,中式料理,咖啡廳,燒烤
152,朱記餡餅粥 - 遠東百貨新竹店,24.8018261,120.96506750000003,0,0,0,1,0,0
153,二邨啥麵,24.7824496,121.02061159999994,0,0,0,1,0,0
154,蓉城吳炒手,24.7844329,121.01070389999995,0,0,0,1,0,0
155,北門室食,24.8058562,120.9661585,0,0,0,1,0,0
156,北香哨子麵,24.7957536,120.96715210000002,0,0,0,1,0,0
157,鍋賣局百元小火鍋-新竹四維店,24.7991363,120.96225240000001,0,0,0,1,0,0
158,老街刈包潤餅專賣店,24.8056866,120.9661625,0,0,0,1,0,0
159,喜福園,24.8004608,120.98414000000002,0,0,0,1,0,0
160,吳記雲南美食,24.8142187,120.9603227,0,0,0,1,0,0
161,福廣燒臘,24.9081474,121.14550459999998,0,0,0,1,0,0
162,一畝園麵食館,24.80555,120.97128700000007,0,0,0,1,0,0
163,瑪咭異國風味料理,24.8186527,120.96603879999998,0,0,0,1,0,0
164,金芝園,24.7969454,120.99831649999999,0,0,0,1,0,0
165,八分飽餐廳,24.8028439,120.99346689999993,0,0,0,1,0,0
166,西北小吃,24.8025949,120.9625062,0,0,0,1,0,0
167,民生川菜海鮮,24.8032627,120.98911610000005,0,0,0,1,0,0
168,元紅小廚,24.8062235,120.96651270000007,0,0,0,1,0,0
169,鴻金食堂,24.802566,120.9991784,0,0,0,1,0,0
170,新明牛肉麵(中正路分店),24.8058925,120.97056650000002,0,0,0,1,0,0
171,喜樂早餐,24.8002257,120.99417330000006,0,0,0,1,0,0
172,Pizza Rock Hsinchu,24.782029,121.02024000000006,0,0,1,0,0,0
173,惟亞酒食小舖,24.786864,121.02065500000003,0,0,1,0,0,0
174,柴寮披薩 香山,24.7791629,120.93872740000006,0,0,1,0,0,0
175,竹湖暐順麗緻文旅,24.78915,121.00299300000006,0,0,1,1,0,0
176,新莊街六號,24.7864577,121.01675130000001,0,0,1,0,0,0
177,蘇格貓底,24.7940366,120.99306539999998,0,0,1,0,0,0
178,HOVII Cafe,24.809805,120.96625870000003,0,0,1,0,1,0
179,夏卡瓦咖啡(夏綠地餐廳),24.8099446,120.97821939999994,0,0,1,0,0,0
180,白色小舖,24.808828,120.97524699999997,0,0,1,0,1,0
181,享餐廳,24.8077651,120.9651,0,0,1,0,0,0
182,茉莉絲義思廚房,24.809562,120.97333500000002,0,0,1,0,1,0
183,回家趣複合式餐飲,24.8002427,120.98665630000005,0,0,1,1,0,0
184,演藝露,24.8119576,120.96733919999997,0,0,1,0,1,0
185,雅士奇義式料理,24.7766859,121.02192869999999,0,0,1,0,0,0
186,貝里尼義式風味館,24.8138287,120.96747979999998,0,0,1,0,0,0
187,香榭椰林歐風館,24.809903,120.9781276,0,0,1,0,0,0
188,吉拉多 義式焗烤,24.7770576,121.02169960000003,0,0,1,0,0,0
189,洋朵義式廚坊-關新店,24.7842434,121.018416,0,0,1,0,0,0
